index,case_id,slice_id,pred_path,overlay_path
0,img0002,img0002_slice0006,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0006_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0006_overlay.png
1,img0002,img0002_slice0008,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0008_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0008_overlay.png
2,img0002,img0002_slice0028,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0028_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0028_overlay.png
3,img0002,img0002_slice0043,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0043_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0043_overlay.png
4,img0002,img0002_slice0047,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0047_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0047_overlay.png
5,img0002,img0002_slice0061,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0061_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0061_overlay.png
6,img0002,img0002_slice0064,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0064_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0064_overlay.png
7,img0002,img0002_slice0065,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0065_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0065_overlay.png
8,img0002,img0002_slice0066,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0066_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0066_overlay.png
9,img0002,img0002_slice0067,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0067_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0067_overlay.png
10,img0002,img0002_slice0068,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0068_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0068_overlay.png
11,img0002,img0002_slice0069,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0069_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0069_overlay.png
12,img0002,img0002_slice0070,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0070_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0070_overlay.png
13,img0002,img0002_slice0071,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0071_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0071_overlay.png
14,img0002,img0002_slice0072,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0072_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0072_overlay.png
15,img0002,img0002_slice0073,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0073_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0073_overlay.png
16,img0002,img0002_slice0074,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0074_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0074_overlay.png
17,img0002,img0002_slice0075,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0075_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0075_overlay.png
18,img0002,img0002_slice0076,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0076_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0076_overlay.png
19,img0002,img0002_slice0077,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0077_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0077_overlay.png
20,img0002,img0002_slice0078,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0078_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0078_overlay.png
21,img0002,img0002_slice0079,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0079_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0079_overlay.png
22,img0002,img0002_slice0080,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0080_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0080_overlay.png
23,img0002,img0002_slice0081,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0081_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0081_overlay.png
24,img0002,img0002_slice0082,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0082_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0082_overlay.png
25,img0002,img0002_slice0083,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0083_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0083_overlay.png
26,img0002,img0002_slice0084,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0084_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0084_overlay.png
27,img0002,img0002_slice0085,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0085_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0085_overlay.png
28,img0002,img0002_slice0086,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0086_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0086_overlay.png
29,img0002,img0002_slice0087,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/predictions/img0002_img0002_slice0087_pred.npy,/Users/brian/Desktop/VCL318/TransU-Net/TransUnet vs. Unet/TransUnet for MultiOrgan Seg/output/final_output/overlays/img0002_img0002_slice0087_overlay.png
